,X,ï..Event,x,y,end_x,end_y,outcome,Special,Start PV,End PV,Net PV
1,1,Pass,77,72,95,74,Yes,None,0.0179,0.0283,0.0104
2,2,Pass,40,34,73,73,Yes,None,0.0107,0.0156,0.0049
3,3,Pass,49,34,55,70,Yes,None,0.0126,0.0117,-0.0009
4,4,Pass,67,50,77,65,Yes,None,0.0165,0.0192,0.0027
5,5,Pass,96,44,102,58,Yes,None,0.0656,0.0447,-0.0209
6,6,Pass,55,33,64,51,Yes,None,0.0137,0.0156,0.0019
7,7, Pass,82,44,85,50,No,None,0.0235,0.026,0.0025
8,8,Carry,70,40,67,50,Yes,None,0.0168,0.0165,-0.0003
9,9, Shot,108,40,120,44,Yes,Penalty,0.1716,0.4691,0.2975
10,10,Carry,96,40,96,44,Yes,None,0.0707,0.0656,-0.0051
11,11,Pass,63,24,73,44,Yes,None,0.0152,0.0184,0.0032
12,12,Carry,84,54,82,42,Yes,None,0.0253,0.0237,-0.0016
13,13,Carry,92,30,91,40,Yes,None,0.0362,0.0362,0
14,14,Pass,85,42,78,40,Yes,None,0.0267,0.0211,-0.0056
15,15,Shot,91,40,102,39,No,None,0.0362,0.1027,0.0665
16,16,Pass,75,20,69,38,Yes,None,0.0187,0.0162,-0.0025
17,17,Pass,60,14,53,38,Yes,None,0.0131,0.0136,0.0005
18,18,Shot,109,28,117,36,No,None,0.0998,0.4085,0.3087
19,19,Pass,71,32,108,35,Yes,KP,0.0185,0.1362,0.1177
20,20,Carry,51,21,49,34,Yes,None,0.0124,0.0126,0.0002
21,21, Carry,40,22,40,34,Yes,None,0.01,0.0107,0.0007
22,22,Carry,102,54,108,32,No,None,0.0546,0.1162,0.0616
23,23,Pass,73,21,71,31,Yes,None,0.0179,0.0185,0.0006
24,24,Pass,96,58,118,30, Yes,FK,0.039,0.0986,0.0596
25,25,Shot,93,22,102,30,No,FK,0.0316,0.0639,0.0323
26,26,Carry,108,22,109,28,Yes,None,0.0541,0.0998,0.0457
27,27,Carry,79,29,83,28,No,None,0.0201,0.023,0.0029
28,28,Pass,79,50,120,25,No,None,0.0205,0.0626,0.0421
29,29,Carry,69,15,63,24,Yes,None,0.0149,0.0152,0.0003
30,30,Carry,65,23,80,23,Yes,None,0.0158,0.0214,0.0056
31,31,Pass,100,21,114,22,No,None,0.0421,0.0633,0.0212
32,32,Pass,96,18,87,22,Yes,None,0.0341,0.0252,-0.0089
33,33,Pass,80,23,90,21,Yes, None,0.0214,0.0278,0.0064
34,34,Carry,75,5,75,20,Yes,None,0.0162,0.0187,0.0025
35,35,Pass,95,20,118,18,Yes,None,0.0321,0.0514,0.0193
36,36,Pass,70,2,65,15,Yes,None,0.0142,0.0144,0.0002
37,37,Pass,82,42,96,10,Yes,None,0.0237,0.03,0.0063
38,38,Carry,77,10,83,10,Yes,None,0.0179,0.0209,0.003
39,39,Pass,57,18,58,10,Yes,None,0.0128,0.0122,-0.0006
40,40,Pass,50,14,37,10,Yes,None,0.0111,0.0085,-0.0026
41,41, Pass,87,2,82,8,Yes ,None,0.0227,0.0209,-0.0018
42,42,Pass,83,10,73,8,Yes,None,0.0209,0.016,-0.0049
43,43,Carry,56,2,60,8,Yes,None,0.011,0.0126,0.0016
44,44,Pass,83,22,108,7,Yes,None,0.0225,0.0376,0.0151
45,45,Pass,80,25,80,7,Yes,None,0.0214,0.0186,-0.0028
46,46,Pass,74,4,67,7,Yes,None,0.0152,0.0135,-0.0017
47,47,Pass,60,12,57,7,Yes,None,0.0129,0.0115,-0.0014
48,48,Pass,59,25,62,6,Yes,None,0.0141,0.0124,-0.0017
49,49,Carry,68,5,74,4,Yes,None,0.0136,0.0152,0.0016
50,50, Carry,75,15,70,2,Yes,None,0.018,0.0142,-0.0038
