,X,Event,x,y,end_x,end_y,outcome,Special,Start PV,End PV,Net PV
1,1,Pass,96,15,112,20,Yes,Through,0.03,0.0534,0.0234
2,2,Shot,112,41,120,41,Yes,Nutmeg,0.2252,0.5714,0.3462
3,3,Pass,105,28,120,51,No,None,0.0779,0.0986,0.0207
4,4,Pass,105,26,106,18,Yes,None,0.0653,0.046,-0.0193
5,5,Pass,102,26,96,31,Yes,None,0.0546,0.0481,-0.0065
6,6,Pass,86,26,80,26,Yes,None,0.0253,0.0213,-0.004
7,7,Pass,114,22,102,32,Yes,None,0.0633,0.0769,0.0136
8,8,Pass,98,21,96,16,Yes,None,0.039,0.0311,-0.0079
9,9,Dribble,96,21,96,21,Yes,None,0.039,0.039,0
10,10,Carry,96,21,103,20,Yes,None,0.039,0.0417,0.0027
11,11,Pass,93,21,105,11,Yes,None,0.0316,0.0361,0.0045
12,12,Pass,105,20,105,32,Yes,None,0.0446,0.0918,0.0472
13,13,Pass,103,20,111,18,Yes,None,0.0417,0.0534,0.0117
14,14,Pass,102,20,111,21,Yes,None,0.0417,0.0619,0.0202
15,15,Pass,98,19,90,30,Yes,None,0.0341,0.0335,-0.0006
16,16,Carry,102,18,102,26,Yes,None,0.0417,0.0546,0.0129
17,17,Carry,96,18,97,30,No,None,0.0341,0.0432,0.0091
18,18,Carry,94,18,114,22,Yes,None,0.0321,0.0633,0.0312
19,19,Pass,93,18,86,39,Yes,None,0.0299,0.0267,-0.0032
20,20,Carry,92,18,83,27,Yes,Fouled,0.0299,0.0229,-0.007
21,21,Pass,79,18,83,3,Yes,None,0.0195,0.0196,1E-04
22,22,Pass,35,18,25,18,Yes,Headed,0.009,0.0077,-0.0013
23,23,Pass,98,16,96,28,Yes,None,0.0311,0.0432,0.0121
24,24,Pass,96,16,100,7,Yes,None,0.0311,0.0315,0.0004
25,25,Carry,94,16,96,21,Yes,None,0.0299,0.039,0.0091
26,26,Pass,82,16,90,20,Yes,None,0.0221,0.0273,0.0052
27,27,Pass,92,15,82,9,Yes,None,0.0274,0.0209,-0.0065
28,28,Pass,87,15,80,16,Yes,None,0.0248,0.0204,-0.0044
29,29,Carry,98,14,93,18,Yes,None,0.03,0.0299,-1E-04
30,30,Carry,97,14,105,20,Yes,None,0.03,0.0446,0.0146
31,31,Pass,96,14,87,14,Yes,None,0.03,0.0248,-0.0052
32,32,Carry,90,10,98,19,Yes,None,0.0252,0.0341,0.0089
33,33,Pass,78,10,74,29,Yes,None,0.0179,0.0183,0.0004
34,34,Pass,89,9,93,21,Yes,None,0.0252,0.0316,0.0064
35,35,Pass,78,8,92,7,Yes,None,0.0179,0.0265,0.0086
36,36,Carry,65,7,65,10,No,None,0.0135,0.0138,0.0003
37,37,Pass,70,6,75,14,Yes,None,0.0146,0.018,0.0034
38,38,Pass,87,5,80,15,Yes,None,0.0229,0.0204,-0.0025
39,39,Pass,86,4,80,7,Yes,None,0.0211,0.0186,-0.0025
40,40,Pass,82,2,87,27,Yes,None,0.0192,0.0286,0.0094
41,41,Dribble,70,2,70,2,Yes,Fouled,0.0142,0.0142,0
42,42,Pass,80,1,83,18,Yes,None,0.0181,0.0223,0.0042
