,X,Event,x,y,end_x,end_y,outcome,Special,Start PV,End PV,Net PV
1,1,Pass,90,68,92,74,Yes,None,0.0256,0.0265,0.0009
2,2,Pass,62,48,67,70,Yes,None,0.015,0.0141,-0.0009
3,3,Carry,80,54,90,68,Yes,None,0.0213,0.0256,0.0043
4,4,Pass,70,62,80,63,Yes,None,0.0166,0.0204,0.0038
5,5,Pass,88,50,87,58,Yes,None,0.0306,0.0252,-0.0054
6,6,Pass,92,53,96,55,No,None,0.0349,0.041,0.0061
7,7,Pass,96,46,114,54,Yes,None,0.0555,0.0752,0.0197
8,8,Carry,86,45,88,50,Yes,None,0.0265,0.0306,0.0041
9,9,Pass,77,40,80,50,Yes,None,0.0211,0.0216,0.0005
10,10,Carry,97,29,96,46,Yes,None,0.0432,0.0555,0.0123
11,11,Pass,85,52,90,46,Yes,Headed,0.0259,0.0352,0.0093
12,12,Pass,67,25,67,44,Yes,None,0.0158,0.0164,0.0006
13,13,Pass,87,22,86,40,Yes,None,0.0252,0.0267,0.0015
14,14,Pass,70,30,80,40,Yes,None,0.0178,0.0225,0.0047
15,15,Pass,60,42,70,39,Yes,None,0.0139,0.0168,0.0029
16,16,Pass,64,44,64,39,Yes,None,0.0156,0.0156,0
17,17,Carry,22,30,40,37,Yes,Fouled,0.0082,0.0108,0.0026
18,18,Pass,87,22,85,32,Yes,None,0.0252,0.026,0.0008
19,19,Pass,40,7,51,31,Yes,None,0.0087,0.013,0.0043
20,20,Pass,93,53,108,30,No,None,0.0349,0.0998,0.0649
21,21,Carry,70,45,80,30,Yes,None,0.0173,0.0214,0.0041
22,22,Carry,47,20,70,30,Yes,None,0.0111,0.0178,0.0067
23,23,Pass,35,30,29,30,Yes,None,0.0098,0.0091,-0.0007
24,24,Pass,100,19,98,29,Yes,None,0.0373,0.0432,0.0059
25,25,Carry,35,40,46,28,Yes,None,0.0099,0.0119,0.002
26,26,Pass,64,27,78,27,Yes,None,0.0155,0.02,0.0045
27,27,Carry,64,13,67,25,Yes,None,0.0138,0.0158,0.002
28,28,Pass,53,18,50,23,Yes,None,0.0125,0.012,-0.0005
29,29,Pass,80,30,90,22,Yes,None,0.0214,0.0278,0.0064
30,30,Pass,83,16,95,20,Yes,None,0.0221,0.0321,0.01
31,31,Pass,46,28,65,20,Yes,None,0.0119,0.0151,0.0032
32,32,Carry,95,5,100,19,Yes,None,0.0278,0.0373,0.0095
33,33,Carry,69,12,73,18,Yes,None,0.0146,0.0177,0.0031
34,34,Carry,75,16,83,16,Yes,None,0.0184,0.0221,0.0037
35,35,Pass,73,18,85,15,Yes,None,0.0177,0.0234,0.0057
36,36,Pass,20,6,10,13,Yes,None,0.0061,0.0057,-0.0004
37,37,Pass,64,12,68,12,Yes,None,0.0136,0.0146,0.001
38,38,Carry,46,10,64,12,Yes,None,0.0098,0.0136,0.0038
39,39,Carry ,22,2,40,7,Yes,None,0.0062,0.0087,0.0025
40,40,Carry,30,22,20,6,Yes,None,0.0085,0.0061,-0.0024
