,X,ï..Event,x,y,end_x,end_y,outcome,Special,Start PV,End PV,Net PV
1,1,Pass,65,68,65,78,Yes,None,0.0141,0.0131,-0.001
2,2,Pass,97,71,94,75,Yes,None,0.03,0.0283,-0.0017
3,3,Pass,97,75,87,73,Yes,None,0.03,0.0232,-0.0068
4,4,Pass,100,76,94,70,Yes,None,0.0314,0.0282,-0.0032
5,5,Pass,60,30,80,70,Yes,None,0.0152,0.02,0.0048
6,6,Carry,82,58,88,68,No,None,0.0225,0.0243,0.0018
7,7,Carry,94,73,96,66,No,None,0.0283,0.03,0.0017
8,8,Pass,80,72,74,62,Yes,None,0.0192,0.0177,-0.0015
9,9,Pass,104,70,92,60,Yes,None,0.0361,0.0316,-0.0045
10,10,Carry,100,65,105,58,Yes,None,0.034,0.0471,0.0131
11,11,Pass,93,62,87,58,Yes,None,0.0299,0.0252,-0.0047
12,12,Carry,80,50,77,58,Yes,None,0.0216,0.0199,-0.0017
13,13,Pass,68,79,55,58,Yes,None,0.0135,0.0128,-0.0007
14,14,Pass,90,56,74,56,Yes,None,0.0293,0.018,-0.0113
15,15,Pass,105,58,104,55,No,None,0.0471,0.0653,0.0182
16,16,Pass,94,58,86,55,Yes,None,0.0353,0.0253,-0.01
17,17,Pass,100,52,102,52,No,None,0.0514,0.0639,0.0125
18,18,Dummy,105,51,105,51,Yes,None,0.0779,0.0779,0
19,19,Pass,98,70,105,45,No,Cross,0.0296,0.1139,0.0843
20,20,Pass,63,60,65,45,Yes,None,0.0148,0.0164,0.0016
21,21,Pass,114,63,107,42,No,None,0.0486,0.1362,0.0876
22,22,Pass,79,50,90,42,Yes,None,0.0205,0.0362,0.0157
23,23,Carry,47,40,56,41,Yes,Fouled,0.0118,0.0137,0.0019
24,24,Pass,77,58,78,38,Yes,None,0.0199,0.0211,0.0012
25,25,Carry,50,30,60,30,Yes,None,0.0123,0.0152,0.0029
26,26,Pass,35,17,30,28,Yes,None,0.0087,0.0091,0.0004
27,27,Pass,96,6,95,16,Yes,None,0.03,0.0299,-1E-04
28,28,Pass,59,27,58,12,Yes,None,0.0145,0.0125,-0.002
29,29,Pass,98,10,88,5,Yes,None,0.03,0.0229,-0.0071
30,30,Pass,87,14,87,4,Yes,None,0.0248,0.0229,-0.0019
