,X,Event,x,y,end_x,end_y,outcome,Special,Start PV,End PV,Net PV
1,1,Pass,48,53,45,66,Yes,None,0.0121,0.01,-0.0021
2,2,Pass,56,48,44,48,Yes,None,0.0141,0.0116,-0.0025
3,3,Pass,80,58,78,48,Yes,None,0.0211,0.0205,-0.0006
4,4,Pass,69,41,83,72,Yes,None,0.0162,0.0209,0.0047
5,5,Pass,63,52,80,73,Yes,None,0.0156,0.0186,0.003
6,6,Dribble,71,56,71,56,Yes,Fouled,0.0173,0.0173,0
7,7,Pass,60,53,70,43,Yes,None,0.015,0.0173,0.0023
8,8,Carry,47,53,56,70,Yes,None,0.0117,0.0121,0.0004
9,9,Pass,56,70,70,76,Yes,None,0.0121,0.0143,0.0022
10,10,Pass,58,65,58,50,Yes,None,0.0127,0.0145,0.0018
11,11,Carry,70,62,71,58,Yes,None,0.0166,0.0171,0.0005
12,12,Pass,71,58,82,44,Yes,None,0.0171,0.0235,0.0064
13,13,Pass,64,50,80,75,Yes,None,0.0156,0.0186,0.003
14,14,Pass,64,36,76,50,Yes,None,0.0156,0.0196,0.004
15,15,Pass,91,47,102,52,No,None,0.0352,0.0639,0.0287
16,16,Pass,70,30,80,25,Yes,None,0.0178,0.0214,0.0036
17,17,Pass,84,44,90,70,Yes,None,0.0265,0.0256,-0.0009
18,18,Pass,87,59,85,44,Yes,None,0.0252,0.0265,0.0013
19,19,Pass,92,57,114,65,Yes,None,0.0333,0.0486,0.0153
20,20,Pass,70,50,78,52,Yes,None,0.0185,0.0201,0.0016
21,21,Pass,52,44,66,75,Yes,None,0.013,0.0135,0.0005
22,22,Pass,63,42,60,28,Yes,None,0.0156,0.0152,-0.0004
23,23,Pass,73,30,75,16,Yes,None,0.0183,0.0184,1E-04
24,24,Pass,82,40,93,65,Yes,None,0.0237,0.0285,0.0048
25,25,Pass,84,40,92,70,Yes,None,0.0267,0.0269,0.0002
26,26,Pass,63,48,117,52,No,None,0.0156,0.098,0.0824
27,27,Pass,65,35,63,27,Yes,None,0.0165,0.0155,-0.001
28,28,Pass,50,32,45,30,Yes,Headed,0.0125,0.0115,-0.001
29,29,Carry,70,59,72,50,Yes,None,0.0171,0.0189,0.0018
30,30,Pass,72,50,75,48,Yes,None,0.0189,0.0196,0.0007
31,31,Pass,77,40,95,25,No,None,0.0211,0.0373,0.0162
32,32,Pass,20,50,10,54,Yes,None,0.0081,0.0068,-0.0013
33,33,Carry,70,65,75,55,Yes,Feint,0.0162,0.0188,0.0026
34,34,Pass,75,55,90,18,Yes,None,0.0188,0.0273,0.0085
35,35,Carry,58,43,102,46,Yes,None,0.0136,0.0882,0.0746
36,36,Pass,102,46,105,55,Yes,None,0.0882,0.0653,-0.0229
37,37,Pass,100,55,96,42,Yes,None,0.0465,0.0707,0.0242
38,38,Pass,65,62,77,75,Yes,None,0.0151,0.0174,0.0023
39,39,Pass,70,56,68,35,Yes,None,0.0173,0.0175,0.0002
40,40,Pass,58,48,73,40,Yes,None,0.0145,0.0181,0.0036
41,41,Pass,42,46,34,52,Yes,None,0.0112,0.0098,-0.0014
42,42,Pass,22,43,12,64,Yes,None,0.0083,0.006,-0.0023
43,43,Carry,63,50,90,55,Yes,None,0.0156,0.0318,0.0162
44,44,Pass,90,55,104,62,Yes,None,0.0318,0.0446,0.0128
45,45,Pass,53,53,48,32,Yes,None,0.0132,0.0125,-0.0007
46,46,Carry,30,50,42,47,Yes,None,0.0093,0.0112,0.0019
47,47,Pass,42,47,75,68,Yes,None,0.0112,0.0175,0.0063
48,48,Pass,50,67,70,80,No,None,0.0111,0.0142,0.0031
